[n: 11, f: 4, c: 10] p 82 | f 6
[n: 18, f: 2, c: 7] p 303 | f 8
[n: 11, f: 5, c: 10] p 102 | f 5
[n: 17, f: 6, c: 10] p 875 | f 14
[n: 11, f: 6, c: 10] p 121 | f 5
[n: 28, f: 2, c: 14] p 5254 | f 52
[n: 14, f: 7, c: 12] p 502 | f 11
[n: 11, f: 7, c: 10] p 141 | f 4
[n: 18, f: 3, c: 7] p 418 | f 9
[n: 11, f: 8, c: 10] p 162 | f 4
[n: 22, f: 7, c: 9] p 2283 | f 26
[n: 11, f: 9, c: 10] p 180 | f 4
[n: 11, f: 0, c: 10] p 0 | f 2
[n: 11, f: 1, c: 10] p 21 | f 4
[n: 11, f: 2, c: 10] p 40 | f 6
[n: 20, f: 6, c: 18] p 2790 | f 58
[n: 25, f: 1, c: 8] p 856 | f 16
[n: 11, f: 3, c: 10] p 61 | f 5
[n: 14, f: 8, c: 12] p 552 | f 10
[n: 18, f: 4, c: 7] p 501 | f 10
[n: 11, f: 4, c: 10] p 81 | f 6
[n: 11, f: 5, c: 10] p 102 | f 5
[n: 17, f: 7, c: 10] p 955 | f 14
[n: 11, f: 6, c: 10] p 124 | f 5
[n: 11, f: 7, c: 10] p 139 | f 4
[n: 14, f: 9, c: 12] p 608 | f 9
[n: 18, f: 5, c: 7] p 541 | f 10
[n: 11, f: 8, c: 10] p 160 | f 4
[n: 11, f: 9, c: 10] p 180 | f 4
[n: 11, f: 0, c: 10] p 0 | f 2
[n: 11, f: 1, c: 10] p 20 | f 4
[n: 11, f: 2, c: 10] p 40 | f 5
[n: 11, f: 3, c: 10] p 61 | f 5
[n: 11, f: 4, c: 10] p 81 | f 6
[n: 11, f: 5, c: 10] p 100 | f 5
[n: 18, f: 6, c: 7] p 573 | f 11
[n: 17, f: 8, c: 10] p 1015 | f 15
[n: 14, f: 10, c: 12] p 661 | f 8
[n: 11, f: 6, c: 10] p 122 | f 5
[n: 18, f: 0, c: 7] p 93 | f 4
[n: 25, f: 2, c: 8] p 1421 | f 20
[n: 11, f: 7, c: 10] p 142 | f 4
[n: 18, f: 1, c: 7] p 191 | f 7
[n: 11, f: 8, c: 10] p 162 | f 4
[n: 11, f: 9, c: 10] p 179 | f 4
[n: 11, f: 0, c: 2] p 2 | f 0
[n: 11, f: 1, c: 2] p 5 | f 0
[n: 11, f: 0, c: 2] p 2 | f 0
[n: 11, f: 1, c: 2] p 5 | f 0
[n: 11, f: 0, c: 2] p 2 | f 0
[n: 11, f: 1, c: 2] p 5 | f 0
[n: 11, f: 0, c: 2] p 2 | f 0
[n: 18, f: 2, c: 7] p 302 | f 9
[n: 11, f: 1, c: 2] p 5 | f 0
[n: 11, f: 0, c: 2] p 2 | f 0
[n: 11, f: 1, c: 2] p 5 | f 0
[n: 11, f: 0, c: 4] p 6 | f 0
[n: 11, f: 1, c: 4] p 14 | f 1
[n: 11, f: 2, c: 4] p 21 | f 1
[n: 11, f: 3, c: 4] p 24 | f 1
[n: 11, f: 0, c: 4] p 6 | f 0
[n: 11, f: 1, c: 4] p 14 | f 1
[n: 14, f: 11, c: 12] p 710 | f 9
[n: 11, f: 2, c: 4] p 20 | f 1
[n: 11, f: 3, c: 4] p 24 | f 1
[n: 11, f: 0, c: 4] p 6 | f 0
[n: 22, f: 8, c: 9] p 2408 | f 26
[n: 11, f: 1, c: 4] p 14 | f 1
[n: 14, f: 0, c: 12] p 38 | f 4
[n: 11, f: 2, c: 4] p 20 | f 1
[n: 11, f: 3, c: 4] p 24 | f 1
[n: 11, f: 0, c: 4] p 6 | f 0
[n: 11, f: 1, c: 4] p 14 | f 1
[n: 11, f: 2, c: 4] p 20 | f 1
[n: 11, f: 3, c: 4] p 25 | f 1
[n: 11, f: 0, c: 4] p 6 | f 0
[n: 11, f: 1, c: 4] p 14 | f 1
[n: 14, f: 1, c: 12] p 120 | f 8
[n: 11, f: 2, c: 4] p 20 | f 1
[n: 11, f: 3, c: 4] p 24 | f 1
[n: 11, f: 0, c: 6] p 13 | f 1
[n: 18, f: 3, c: 7] p 428 | f 10
[n: 11, f: 1, c: 6] p 28 | f 2
[n: 17, f: 9, c: 10] p 1072 | f 16
[n: 11, f: 2, c: 6] p 39 | f 2
[n: 11, f: 3, c: 6] p 50 | f 2
[n: 14, f: 2, c: 12] p 195 | f 11
